"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","nucleotide binding","GO:0000166","0.0344092835320436","1.4633243701375518","1203","616","109","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005644,TC006170,TC006296,TC006299,TC006313,TC006471,TC006474,TC006627,TC007103,TC007481,TC007608,TC007848,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010157,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC013885,TC014023,TC014047,TC014181,TC014210,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:MF","nucleoside phosphate binding","GO:1901265","0.0344092835320436","1.4633243701375518","1203","616","109","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005644,TC006170,TC006296,TC006299,TC006313,TC006471,TC006474,TC006627,TC007103,TC007481,TC007608,TC007848,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010157,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC013885,TC014023,TC014047,TC014181,TC014210,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:MF","heterocyclic compound binding","GO:1901363","0.05745796400538287","1.2406497670822056","1259","616","112","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005445,TC005644,TC006170,TC006296,TC006299,TC006301,TC006313,TC006471,TC006474,TC006627,TC007103,TC007481,TC007608,TC007848,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010157,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC013885,TC014023,TC014047,TC014181,TC014209,TC014210,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:MF","cytoskeletal protein binding","GO:0008092","0.09283039820432172","1.0323097865975472","273","616","33","9453","TC001109,TC002404,TC002963,TC004134,TC004151,TC004311,TC004497,TC004676,TC004800,TC005186,TC006152,TC006673,TC007136,TC007147,TC007173,TC008402,TC008618,TC009109,TC009721,TC010011,TC010420,TC012341,TC013546,TC013742,TC013790,TC014041,TC014226,TC014642,TC015016,TC015622,TC015986,TC030614,TC030652"
"GO:MF","transferase activity","GO:0016740","0.13619293505818356","0.8658454206525057","1424","616","122","9453","TC000030,TC000382,TC000502,TC000504,TC000678,TC000759,TC001087,TC001103,TC001192,TC001634,TC001697,TC001751,TC001753,TC001754,TC001755,TC002403,TC002522,TC002588,TC002590,TC002627,TC002973,TC003094,TC003119,TC003528,TC003573,TC003645,TC004116,TC004121,TC004145,TC004152,TC004380,TC004581,TC004619,TC004674,TC004679,TC004721,TC004724,TC004758,TC004776,TC004777,TC004792,TC004861,TC004865,TC004910,TC005516,TC005597,TC005644,TC005702,TC006052,TC006299,TC006301,TC006323,TC006474,TC006704,TC007056,TC007127,TC007434,TC007481,TC008702,TC008860,TC009172,TC009257,TC009259,TC009265,TC009267,TC009314,TC009819,TC010168,TC010418,TC010433,TC010518,TC010678,TC010774,TC010807,TC010814,TC010831,TC011121,TC011145,TC011313,TC011522,TC011523,TC011527,TC011541,TC012060,TC012347,TC012367,TC012378,TC013075,TC013214,TC013312,TC013550,TC013565,TC013753,TC013781,TC013782,TC013789,TC014006,TC014023,TC014085,TC014173,TC014181,TC014209,TC014210,TC014213,TC014743,TC014905,TC014947,TC015081,TC015082,TC015096,TC015176,TC015179,TC015365,TC015628,TC015651,TC015675,TC015826,TC015985,TC030464,TC030549,TC030744,TC030779"
"GO:MF","acyltransferase activity","GO:0016746","0.16576000127087298","0.7805202586051486","340","616","38","9453","TC000030,TC000502,TC000678,TC001192,TC001697,TC001753,TC001755,TC002403,TC002588,TC002590,TC003573,TC004116,TC004121,TC004145,TC004152,TC004777,TC004861,TC005597,TC006052,TC006323,TC006704,TC007127,TC007434,TC009172,TC009267,TC010774,TC011121,TC011522,TC012378,TC013075,TC013214,TC014006,TC014209,TC014905,TC015096,TC030464,TC030549,TC030779"
"GO:MF","small molecule binding","GO:0036094","0.17630060995538258","0.7537461851493529","2842","616","221","9453","TC000070,TC000085,TC000188,TC000222,TC000382,TC000463,TC000476,TC000481,TC000502,TC000537,TC000590,TC000992,TC001073,TC001087,TC001089,TC001103,TC001108,TC001192,TC001259,TC001601,TC001612,TC001697,TC001713,TC001744,TC001750,TC001753,TC001754,TC001755,TC001761,TC002403,TC002463,TC002505,TC002522,TC002540,TC002545,TC002546,TC002825,TC002912,TC002963,TC002973,TC003119,TC003366,TC003401,TC003417,TC003574,TC003588,TC003594,TC003645,TC004125,TC004134,TC004145,TC004380,TC004579,TC004583,TC004619,TC004661,TC004664,TC004672,TC004674,TC004676,TC004703,TC004711,TC004721,TC004724,TC004776,TC004792,TC004800,TC004855,TC004865,TC004873,TC004939,TC005004,TC005233,TC005445,TC005638,TC005644,TC005820,TC005841,TC006170,TC006296,TC006299,TC006301,TC006313,TC006471,TC006474,TC006604,TC006627,TC007103,TC007113,TC007136,TC007146,TC007168,TC007176,TC007304,TC007434,TC007481,TC007511,TC007512,TC007608,TC007656,TC007847,TC007848,TC007906,TC008058,TC008118,TC008339,TC008348,TC008354,TC008372,TC008388,TC008402,TC008406,TC008415,TC008784,TC008860,TC009259,TC009265,TC009267,TC009314,TC009437,TC009542,TC009548,TC010011,TC010109,TC010157,TC010168,TC010331,TC010336,TC010405,TC010418,TC010420,TC010433,TC010434,TC010448,TC010657,TC010772,TC010805,TC010807,TC010814,TC010829,TC010831,TC010839,TC010866,TC010872,TC010896,TC011106,TC011145,TC011200,TC011442,TC011443,TC011516,TC011522,TC011523,TC011526,TC011541,TC011637,TC012055,TC012131,TC012133,TC012367,TC012384,TC012417,TC012672,TC013047,TC013075,TC013301,TC013312,TC013433,TC013546,TC013565,TC013570,TC013602,TC013635,TC013689,TC013742,TC013758,TC013782,TC013885,TC014005,TC014014,TC014023,TC014040,TC014047,TC014181,TC014203,TC014209,TC014210,TC014217,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014899,TC014905,TC014984,TC015081,TC015082,TC015096,TC015184,TC015322,TC015347,TC015365,TC015374,TC015386,TC015532,TC015591,TC015613,TC015622,TC015628,TC015719,TC015755,TC015907,TC016231,TC030598,TC030652,TC030725,TC030744,TC030760,TC030779"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","0.19310282152562852","0.7142113804719844","1003","616","90","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004583,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005644,TC006296,TC006313,TC006471,TC006474,TC006627,TC007481,TC007848,TC008339,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009314,TC009437,TC010011,TC010420,TC010434,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
"GO:MF","proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","0.21786746623357003","0.6618076173449812","13","616","5","9453","TC005628,TC008354,TC010758,TC013931,TC015322"
"GO:MF","purine ribonucleotide binding","GO:0032555","0.2236620248090335","0.650407747758159","1021","616","91","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003645,TC004134,TC004380,TC004583,TC004664,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005644,TC006296,TC006313,TC006471,TC006474,TC006627,TC007481,TC007848,TC008339,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010420,TC010434,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC014023,TC014047,TC014181,TC014210,TC014226,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC030652,TC030725,TC030744,TC030760"
