"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","nucleotide binding","GO:0000166","true","0.0344092835320436","1.4633243701375518","1203","616","109","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005644,TC006170,TC006296,TC006299,TC006313,TC006471,TC006474,TC006627,TC007103,TC007481,TC007608,TC007848,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010157,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC013885,TC014023,TC014047,TC014181,TC014210,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:MF","nucleoside phosphate binding","GO:1901265","false","0.0344092835320436","1.4633243701375518","1203","616","109","9453","TC000188,TC000382,TC000481,TC000590,TC001073,TC001087,TC001089,TC001103,TC001108,TC001612,TC001713,TC001750,TC001755,TC002463,TC002522,TC002825,TC002912,TC002963,TC002973,TC003417,TC003645,TC004134,TC004380,TC004583,TC004664,TC004703,TC004721,TC004724,TC004776,TC004792,TC004800,TC004865,TC004873,TC005004,TC005233,TC005644,TC006170,TC006296,TC006299,TC006313,TC006471,TC006474,TC006627,TC007103,TC007481,TC007608,TC007848,TC008339,TC008348,TC008354,TC008372,TC008402,TC008415,TC008784,TC008860,TC009259,TC009314,TC009437,TC010011,TC010109,TC010157,TC010420,TC010434,TC010448,TC010772,TC010805,TC010814,TC010829,TC010831,TC010866,TC011106,TC011145,TC011200,TC011516,TC011526,TC011541,TC012055,TC012131,TC012133,TC012367,TC013301,TC013546,TC013565,TC013742,TC013782,TC013885,TC014023,TC014047,TC014181,TC014210,TC014226,TC014228,TC014229,TC014309,TC014516,TC014642,TC014984,TC015081,TC015096,TC015322,TC015365,TC015613,TC015628,TC015719,TC015907,TC030652,TC030725,TC030744,TC030760"
"GO:BP","generation of precursor metabolites and energy","GO:0006091","true","0.032191494362980924","1.4922588624404236","139","595","23","8796","TC000992,TC002817,TC003540,TC004380,TC004619,TC004680,TC004703,TC004939,TC005628,TC005841,TC006170,TC007643,TC009819,TC010157,TC010331,TC010448,TC010779,TC013214,TC014166,TC014895,TC015096,TC015322,TC015651"
"GO:CC","intracellular anatomical structure","GO:0005622","true","2.0855142855210395e-19","18.680786830943198","5584","612","479","9189","TC000030,TC000041,TC000069,TC000070,TC000085,TC000188,TC000223,TC000449,TC000463,TC000466,TC000476,TC000477,TC000481,TC000502,TC000505,TC000537,TC000590,TC000641,TC000678,TC000759,TC000790,TC000806,TC000992,TC001035,TC001072,TC001073,TC001087,TC001089,TC001103,TC001108,TC001109,TC001192,TC001193,TC001231,TC001259,TC001624,TC001634,TC001643,TC001697,TC001711,TC001713,TC001744,TC001750,TC001753,TC001755,TC001761,TC002403,TC002404,TC002463,TC002501,TC002505,TC002540,TC002588,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002825,TC002864,TC002912,TC002949,TC002963,TC002976,TC003070,TC003094,TC003116,TC003119,TC003202,TC003212,TC003222,TC003247,TC003366,TC003401,TC003433,TC003474,TC003528,TC003540,TC003555,TC003562,TC003573,TC003574,TC003587,TC003588,TC003594,TC003645,TC003731,TC003774,TC003826,TC003827,TC003864,TC003940,TC003964,TC004014,TC004017,TC004115,TC004116,TC004121,TC004122,TC004123,TC004131,TC004132,TC004134,TC004151,TC004152,TC004314,TC004380,TC004462,TC004497,TC004581,TC004583,TC004600,TC004615,TC004616,TC004619,TC004631,TC004639,TC004658,TC004663,TC004664,TC004672,TC004674,TC004675,TC004679,TC004680,TC004683,TC004690,TC004696,TC004697,TC004703,TC004720,TC004724,TC004742,TC004758,TC004777,TC004794,TC004798,TC004799,TC004800,TC004801,TC004855,TC004861,TC004873,TC004910,TC004939,TC005004,TC005186,TC005233,TC005358,TC005412,TC005415,TC005445,TC005516,TC005597,TC005628,TC005638,TC005644,TC005665,TC005702,TC005794,TC005801,TC005820,TC005841,TC005852,TC005981,TC005995,TC006052,TC006102,TC006116,TC006152,TC006168,TC006199,TC006301,TC006313,TC006314,TC006323,TC006471,TC006547,TC006604,TC006627,TC006673,TC006690,TC006704,TC007077,TC007079,TC007086,TC007113,TC007123,TC007124,TC007136,TC007148,TC007168,TC007173,TC007176,TC007229,TC007253,TC007383,TC007434,TC007480,TC007481,TC007508,TC007512,TC007560,TC007615,TC007618,TC007628,TC007629,TC007640,TC007643,TC007656,TC007847,TC007848,TC007849,TC007850,TC007870,TC007876,TC007891,TC007893,TC007906,TC008014,TC008111,TC008118,TC008122,TC008130,TC008131,TC008216,TC008298,TC008318,TC008329,TC008332,TC008350,TC008353,TC008372,TC008388,TC008402,TC008406,TC008415,TC008421,TC008422,TC008426,TC008618,TC008716,TC008784,TC008818,TC008860,TC008997,TC009028,TC009109,TC009171,TC009240,TC009250,TC009257,TC009258,TC009259,TC009260,TC009262,TC009264,TC009265,TC009266,TC009268,TC009279,TC009280,TC009435,TC009437,TC009441,TC009487,TC009536,TC009538,TC009539,TC009542,TC009543,TC009546,TC009550,TC009551,TC009555,TC009633,TC009679,TC009721,TC009739,TC009817,TC009818,TC009819,TC010011,TC010046,TC010108,TC010157,TC010168,TC010322,TC010331,TC010334,TC010405,TC010418,TC010420,TC010445,TC010446,TC010448,TC010518,TC010637,TC010678,TC010766,TC010772,TC010774,TC010778,TC010779,TC010780,TC010795,TC010804,TC010805,TC010807,TC010829,TC010830,TC010838,TC010855,TC010856,TC010869,TC010870,TC010871,TC010873,TC010876,TC010886,TC011040,TC011045,TC011106,TC011114,TC011145,TC011184,TC011200,TC011223,TC011241,TC011317,TC011347,TC011372,TC011517,TC011518,TC011523,TC011526,TC011527,TC011538,TC011541,TC011542,TC011637,TC011649,TC011978,TC012019,TC012023,TC012028,TC012060,TC012074,TC012131,TC012341,TC012371,TC012375,TC012378,TC012384,TC012388,TC012455,TC012831,TC013075,TC013214,TC013218,TC013230,TC013292,TC013301,TC013413,TC013432,TC013546,TC013550,TC013565,TC013571,TC013572,TC013574,TC013586,TC013589,TC013598,TC013604,TC013609,TC013629,TC013689,TC013742,TC013753,TC013754,TC013758,TC013782,TC013789,TC013790,TC013885,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014041,TC014047,TC014085,TC014166,TC014173,TC014203,TC014209,TC014210,TC014213,TC014217,TC014226,TC014227,TC014236,TC014272,TC014286,TC014378,TC014398,TC014465,TC014505,TC014514,TC014515,TC014600,TC014743,TC014894,TC014895,TC014899,TC014905,TC014947,TC014951,TC014984,TC015013,TC015014,TC015016,TC015061,TC015071,TC015073,TC015081,TC015082,TC015096,TC015124,TC015176,TC015179,TC015300,TC015322,TC015347,TC015355,TC015365,TC015374,TC015512,TC015591,TC015613,TC015622,TC015626,TC015629,TC015633,TC015634,TC015651,TC015660,TC015675,TC015728,TC015755,TC015819,TC015826,TC015834,TC015907,TC015935,TC015941,TC015979,TC015985,TC015986,TC015996,TC016197,TC016231,TC016317,TC030464,TC030549,TC030596,TC030605,TC030614,TC030625,TC030725,TC030744,TC030748,TC030760,TC030783"
"GO:CC","cytoplasm","GO:0005737","false","6.544875892414392e-14","13.184098584369242","3520","612","330","9189","TC000030,TC000188,TC000223,TC000449,TC000463,TC000466,TC000476,TC000502,TC000505,TC000537,TC000590,TC000641,TC000678,TC000759,TC000806,TC000992,TC001035,TC001073,TC001087,TC001103,TC001108,TC001109,TC001192,TC001193,TC001259,TC001634,TC001643,TC001697,TC001711,TC001713,TC001744,TC001750,TC001761,TC002403,TC002463,TC002501,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002864,TC002949,TC003070,TC003116,TC003119,TC003202,TC003212,TC003222,TC003366,TC003401,TC003528,TC003540,TC003574,TC003587,TC003645,TC003774,TC003826,TC003864,TC003964,TC004014,TC004115,TC004116,TC004121,TC004122,TC004123,TC004131,TC004132,TC004151,TC004152,TC004380,TC004462,TC004581,TC004583,TC004615,TC004616,TC004619,TC004631,TC004639,TC004663,TC004664,TC004672,TC004674,TC004675,TC004679,TC004680,TC004683,TC004690,TC004696,TC004703,TC004720,TC004724,TC004758,TC004777,TC004798,TC004799,TC004801,TC004855,TC004861,TC004873,TC004910,TC004939,TC005004,TC005233,TC005358,TC005412,TC005597,TC005628,TC005644,TC005665,TC005702,TC005801,TC005820,TC005841,TC005852,TC005981,TC005995,TC006052,TC006102,TC006116,TC006152,TC006314,TC006323,TC006471,TC006547,TC006604,TC006627,TC006673,TC006690,TC006704,TC007079,TC007086,TC007113,TC007124,TC007136,TC007173,TC007176,TC007229,TC007253,TC007434,TC007481,TC007508,TC007512,TC007560,TC007618,TC007628,TC007629,TC007643,TC007847,TC007848,TC007849,TC007850,TC007876,TC007906,TC008111,TC008118,TC008122,TC008130,TC008216,TC008318,TC008350,TC008372,TC008402,TC008406,TC008415,TC008421,TC008422,TC008426,TC008618,TC008716,TC008784,TC008818,TC008997,TC009028,TC009109,TC009240,TC009257,TC009258,TC009259,TC009260,TC009262,TC009264,TC009279,TC009435,TC009437,TC009441,TC009487,TC009551,TC009555,TC009633,TC009679,TC009721,TC009817,TC009818,TC009819,TC010011,TC010046,TC010108,TC010157,TC010168,TC010331,TC010418,TC010420,TC010445,TC010446,TC010448,TC010678,TC010766,TC010772,TC010774,TC010779,TC010795,TC010829,TC010838,TC010869,TC010871,TC010876,TC010886,TC011106,TC011145,TC011184,TC011223,TC011241,TC011317,TC011347,TC011517,TC011523,TC011526,TC011527,TC011538,TC011541,TC011637,TC011649,TC012060,TC012074,TC012131,TC012341,TC012375,TC012388,TC012831,TC013075,TC013214,TC013218,TC013230,TC013292,TC013413,TC013550,TC013565,TC013571,TC013572,TC013574,TC013589,TC013598,TC013604,TC013609,TC013742,TC013753,TC013754,TC013758,TC013782,TC013789,TC013790,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014041,TC014047,TC014085,TC014166,TC014173,TC014203,TC014209,TC014210,TC014213,TC014227,TC014272,TC014378,TC014465,TC014505,TC014514,TC014515,TC014600,TC014743,TC014895,TC014905,TC014951,TC014984,TC015013,TC015014,TC015061,TC015071,TC015081,TC015096,TC015176,TC015179,TC015322,TC015365,TC015374,TC015512,TC015591,TC015613,TC015622,TC015633,TC015651,TC015660,TC015675,TC015728,TC015834,TC015907,TC015935,TC015941,TC015979,TC015985,TC015986,TC015996,TC016197,TC016317,TC030464,TC030549,TC030605,TC030614,TC030625,TC030725,TC030760,TC030783"
"GO:CC","organelle","GO:0043226","false","7.084964292733257e-8","7.149662334196759","4617","612","381","9189","TC000041,TC000069,TC000070,TC000085,TC000223,TC000449,TC000463,TC000466,TC000477,TC000481,TC000502,TC000505,TC000537,TC000641,TC000678,TC000759,TC000790,TC000806,TC000992,TC001035,TC001072,TC001089,TC001103,TC001108,TC001109,TC001192,TC001193,TC001231,TC001624,TC001643,TC001713,TC001744,TC001750,TC001753,TC001755,TC001761,TC002403,TC002404,TC002463,TC002501,TC002540,TC002588,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002825,TC002864,TC002912,TC002949,TC002963,TC002976,TC003094,TC003116,TC003202,TC003212,TC003247,TC003366,TC003401,TC003433,TC003474,TC003528,TC003555,TC003562,TC003573,TC003574,TC003587,TC003588,TC003594,TC003731,TC003774,TC003826,TC003827,TC003864,TC003940,TC004014,TC004017,TC004116,TC004121,TC004131,TC004134,TC004151,TC004152,TC004314,TC004462,TC004497,TC004581,TC004600,TC004631,TC004637,TC004639,TC004658,TC004663,TC004664,TC004674,TC004675,TC004680,TC004690,TC004697,TC004703,TC004724,TC004742,TC004758,TC004777,TC004794,TC004798,TC004800,TC004855,TC004861,TC004873,TC004910,TC004939,TC005186,TC005233,TC005358,TC005412,TC005415,TC005445,TC005516,TC005628,TC005638,TC005644,TC005702,TC005794,TC005801,TC005820,TC005841,TC005852,TC005981,TC006052,TC006102,TC006116,TC006152,TC006168,TC006199,TC006301,TC006313,TC006314,TC006323,TC006471,TC006547,TC006604,TC006627,TC006673,TC006690,TC007077,TC007079,TC007113,TC007123,TC007124,TC007136,TC007147,TC007168,TC007173,TC007229,TC007253,TC007383,TC007480,TC007508,TC007615,TC007628,TC007629,TC007640,TC007643,TC007656,TC007847,TC007849,TC007850,TC007870,TC007891,TC007893,TC007906,TC008014,TC008111,TC008118,TC008122,TC008130,TC008131,TC008298,TC008318,TC008329,TC008332,TC008350,TC008353,TC008388,TC008406,TC008422,TC008426,TC008618,TC008716,TC008818,TC008860,TC008997,TC009109,TC009171,TC009250,TC009258,TC009260,TC009262,TC009264,TC009265,TC009266,TC009268,TC009279,TC009280,TC009435,TC009437,TC009441,TC009536,TC009538,TC009539,TC009542,TC009543,TC009546,TC009550,TC009555,TC009633,TC009679,TC009721,TC009739,TC009817,TC009818,TC010011,TC010108,TC010157,TC010168,TC010322,TC010331,TC010334,TC010405,TC010420,TC010446,TC010518,TC010637,TC010678,TC010774,TC010778,TC010780,TC010795,TC010805,TC010807,TC010829,TC010830,TC010855,TC010856,TC010869,TC010870,TC010871,TC010873,TC010886,TC011040,TC011045,TC011114,TC011145,TC011200,TC011223,TC011241,TC011347,TC011372,TC011517,TC011518,TC011523,TC011526,TC011527,TC011538,TC011542,TC011637,TC011978,TC012019,TC012023,TC012028,TC012060,TC012131,TC012371,TC012375,TC012378,TC012384,TC012388,TC012455,TC012831,TC013075,TC013214,TC013218,TC013292,TC013301,TC013413,TC013432,TC013546,TC013565,TC013586,TC013598,TC013604,TC013609,TC013629,TC013689,TC013742,TC013753,TC013754,TC013758,TC013782,TC013790,TC013885,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014041,TC014047,TC014085,TC014166,TC014173,TC014209,TC014213,TC014217,TC014226,TC014227,TC014236,TC014272,TC014378,TC014398,TC014465,TC014505,TC014515,TC014600,TC014642,TC014743,TC014894,TC014895,TC014899,TC014905,TC014947,TC014984,TC015013,TC015014,TC015016,TC015071,TC015073,TC015082,TC015124,TC015176,TC015300,TC015322,TC015347,TC015355,TC015365,TC015512,TC015613,TC015622,TC015626,TC015629,TC015633,TC015634,TC015660,TC015675,TC015728,TC015755,TC015819,TC015826,TC015834,TC015907,TC015935,TC015941,TC015986,TC015996,TC016197,TC016231,TC016317,TC030464,TC030549,TC030596,TC030605,TC030614,TC030625,TC030652,TC030744,TC030748"
"GO:CC","intracellular organelle","GO:0043229","false","8.312145543745992e-8","7.0802868609883705","4530","612","375","9189","TC000041,TC000069,TC000070,TC000085,TC000223,TC000449,TC000463,TC000466,TC000477,TC000481,TC000502,TC000505,TC000537,TC000641,TC000678,TC000759,TC000790,TC000806,TC000992,TC001035,TC001072,TC001089,TC001103,TC001108,TC001109,TC001192,TC001231,TC001624,TC001643,TC001713,TC001744,TC001750,TC001753,TC001755,TC001761,TC002403,TC002404,TC002463,TC002501,TC002540,TC002588,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002825,TC002864,TC002912,TC002949,TC002963,TC002976,TC003094,TC003116,TC003202,TC003212,TC003247,TC003366,TC003401,TC003433,TC003474,TC003528,TC003555,TC003562,TC003573,TC003574,TC003587,TC003588,TC003594,TC003731,TC003774,TC003826,TC003827,TC003864,TC003940,TC004014,TC004017,TC004116,TC004121,TC004131,TC004134,TC004151,TC004152,TC004314,TC004462,TC004497,TC004581,TC004600,TC004631,TC004639,TC004658,TC004663,TC004664,TC004674,TC004675,TC004680,TC004690,TC004697,TC004703,TC004724,TC004742,TC004758,TC004777,TC004794,TC004798,TC004800,TC004855,TC004861,TC004873,TC004910,TC004939,TC005186,TC005233,TC005358,TC005412,TC005415,TC005445,TC005516,TC005628,TC005638,TC005644,TC005702,TC005794,TC005801,TC005820,TC005841,TC005852,TC005981,TC006052,TC006102,TC006116,TC006152,TC006168,TC006199,TC006301,TC006313,TC006314,TC006323,TC006471,TC006547,TC006604,TC006627,TC006673,TC006690,TC007077,TC007079,TC007113,TC007123,TC007124,TC007136,TC007168,TC007173,TC007229,TC007253,TC007383,TC007480,TC007508,TC007615,TC007628,TC007629,TC007640,TC007643,TC007656,TC007847,TC007849,TC007850,TC007870,TC007891,TC007893,TC007906,TC008014,TC008111,TC008118,TC008122,TC008130,TC008131,TC008298,TC008318,TC008329,TC008332,TC008350,TC008353,TC008388,TC008406,TC008422,TC008426,TC008618,TC008716,TC008818,TC008860,TC008997,TC009109,TC009171,TC009250,TC009258,TC009260,TC009262,TC009264,TC009265,TC009266,TC009268,TC009279,TC009280,TC009435,TC009437,TC009441,TC009536,TC009538,TC009539,TC009542,TC009543,TC009546,TC009550,TC009555,TC009633,TC009679,TC009721,TC009739,TC009817,TC009818,TC010011,TC010108,TC010157,TC010168,TC010322,TC010331,TC010334,TC010405,TC010420,TC010446,TC010518,TC010637,TC010678,TC010774,TC010778,TC010780,TC010795,TC010805,TC010807,TC010829,TC010830,TC010855,TC010856,TC010869,TC010870,TC010871,TC010873,TC010886,TC011040,TC011045,TC011114,TC011145,TC011200,TC011223,TC011241,TC011347,TC011372,TC011517,TC011518,TC011523,TC011526,TC011527,TC011538,TC011542,TC011637,TC011978,TC012019,TC012023,TC012028,TC012060,TC012131,TC012371,TC012375,TC012378,TC012384,TC012388,TC012455,TC012831,TC013075,TC013214,TC013218,TC013292,TC013301,TC013413,TC013432,TC013546,TC013565,TC013586,TC013598,TC013604,TC013609,TC013629,TC013689,TC013742,TC013753,TC013754,TC013758,TC013782,TC013790,TC013885,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014041,TC014047,TC014085,TC014166,TC014173,TC014209,TC014213,TC014217,TC014226,TC014227,TC014236,TC014272,TC014378,TC014398,TC014465,TC014505,TC014515,TC014600,TC014743,TC014894,TC014895,TC014899,TC014905,TC014947,TC014984,TC015013,TC015014,TC015016,TC015071,TC015073,TC015082,TC015124,TC015176,TC015300,TC015322,TC015347,TC015355,TC015365,TC015512,TC015613,TC015622,TC015626,TC015629,TC015633,TC015634,TC015660,TC015675,TC015728,TC015755,TC015819,TC015826,TC015834,TC015907,TC015935,TC015986,TC015996,TC016197,TC016231,TC016317,TC030464,TC030549,TC030596,TC030605,TC030614,TC030625,TC030744,TC030748"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","false","0.00006659032220768715","4.1765888837006075","3960","612","323","9189","TC000041,TC000069,TC000070,TC000085,TC000223,TC000449,TC000463,TC000466,TC000477,TC000481,TC000502,TC000505,TC000537,TC000641,TC000678,TC000759,TC000790,TC000806,TC000992,TC001035,TC001072,TC001089,TC001103,TC001108,TC001192,TC001231,TC001624,TC001643,TC001713,TC001744,TC001750,TC001755,TC001761,TC002403,TC002463,TC002501,TC002540,TC002588,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002825,TC002864,TC002949,TC002976,TC003094,TC003116,TC003202,TC003212,TC003247,TC003366,TC003401,TC003433,TC003474,TC003528,TC003555,TC003562,TC003573,TC003574,TC003587,TC003588,TC003594,TC003731,TC003774,TC003826,TC003827,TC003864,TC003940,TC004014,TC004017,TC004116,TC004121,TC004134,TC004151,TC004152,TC004314,TC004581,TC004600,TC004631,TC004639,TC004658,TC004663,TC004664,TC004674,TC004675,TC004680,TC004690,TC004697,TC004703,TC004724,TC004742,TC004758,TC004777,TC004794,TC004798,TC004855,TC004861,TC004910,TC004939,TC005233,TC005358,TC005412,TC005415,TC005445,TC005516,TC005628,TC005644,TC005702,TC005794,TC005801,TC005820,TC005841,TC005852,TC005981,TC006052,TC006102,TC006116,TC006168,TC006199,TC006301,TC006313,TC006314,TC006471,TC006547,TC006604,TC006627,TC006690,TC007077,TC007079,TC007113,TC007123,TC007124,TC007136,TC007168,TC007229,TC007383,TC007480,TC007508,TC007615,TC007629,TC007640,TC007643,TC007847,TC007849,TC007850,TC007870,TC007891,TC007893,TC007906,TC008014,TC008111,TC008118,TC008122,TC008130,TC008131,TC008329,TC008332,TC008353,TC008388,TC008406,TC008422,TC008426,TC008716,TC008818,TC009171,TC009250,TC009258,TC009262,TC009264,TC009265,TC009268,TC009279,TC009280,TC009435,TC009437,TC009441,TC009536,TC009538,TC009539,TC009542,TC009543,TC009550,TC009555,TC009633,TC009679,TC009739,TC009817,TC009818,TC010108,TC010157,TC010168,TC010322,TC010331,TC010334,TC010405,TC010420,TC010518,TC010637,TC010678,TC010774,TC010778,TC010795,TC010805,TC010807,TC010856,TC010869,TC010870,TC010871,TC010886,TC011040,TC011045,TC011114,TC011145,TC011200,TC011223,TC011347,TC011523,TC011526,TC011527,TC011538,TC011542,TC011637,TC011978,TC012019,TC012023,TC012028,TC012060,TC012131,TC012371,TC012378,TC012384,TC012388,TC012831,TC013075,TC013214,TC013218,TC013292,TC013301,TC013413,TC013432,TC013546,TC013565,TC013586,TC013598,TC013604,TC013609,TC013629,TC013689,TC013753,TC013754,TC013758,TC013782,TC013885,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014047,TC014085,TC014166,TC014173,TC014209,TC014213,TC014217,TC014227,TC014236,TC014272,TC014378,TC014398,TC014465,TC014505,TC014515,TC014600,TC014743,TC014894,TC014895,TC014899,TC014905,TC014947,TC014984,TC015014,TC015071,TC015073,TC015082,TC015124,TC015176,TC015300,TC015322,TC015347,TC015355,TC015365,TC015512,TC015613,TC015622,TC015626,TC015629,TC015633,TC015634,TC015660,TC015675,TC015728,TC015819,TC015826,TC015834,TC015907,TC015935,TC015996,TC016197,TC016231,TC016317,TC030464,TC030549,TC030596,TC030605,TC030625,TC030744,TC030748"
"GO:CC","membrane-bounded organelle","GO:0043227","false","0.0003903207391874035","3.4085783724303607","4127","612","330","9189","TC000041,TC000069,TC000070,TC000085,TC000223,TC000449,TC000463,TC000466,TC000477,TC000481,TC000502,TC000505,TC000537,TC000641,TC000678,TC000759,TC000790,TC000806,TC000992,TC001035,TC001072,TC001089,TC001103,TC001108,TC001192,TC001193,TC001231,TC001624,TC001643,TC001713,TC001744,TC001750,TC001755,TC001761,TC002403,TC002463,TC002501,TC002540,TC002588,TC002590,TC002599,TC002616,TC002622,TC002627,TC002672,TC002817,TC002825,TC002864,TC002949,TC002976,TC003094,TC003116,TC003202,TC003212,TC003247,TC003366,TC003401,TC003433,TC003474,TC003528,TC003555,TC003562,TC003573,TC003574,TC003587,TC003588,TC003594,TC003731,TC003774,TC003826,TC003827,TC003864,TC003940,TC004014,TC004017,TC004116,TC004121,TC004134,TC004151,TC004152,TC004314,TC004581,TC004600,TC004631,TC004637,TC004639,TC004658,TC004663,TC004664,TC004674,TC004675,TC004680,TC004690,TC004697,TC004703,TC004724,TC004742,TC004758,TC004777,TC004794,TC004798,TC004855,TC004861,TC004910,TC004939,TC005233,TC005358,TC005412,TC005415,TC005445,TC005516,TC005628,TC005644,TC005702,TC005794,TC005801,TC005820,TC005841,TC005852,TC005981,TC006052,TC006102,TC006116,TC006168,TC006199,TC006301,TC006313,TC006314,TC006471,TC006547,TC006604,TC006627,TC006690,TC007077,TC007079,TC007113,TC007123,TC007124,TC007136,TC007147,TC007168,TC007229,TC007383,TC007480,TC007508,TC007615,TC007629,TC007640,TC007643,TC007847,TC007849,TC007850,TC007870,TC007891,TC007893,TC007906,TC008014,TC008111,TC008118,TC008122,TC008130,TC008131,TC008329,TC008332,TC008353,TC008388,TC008406,TC008422,TC008426,TC008716,TC008818,TC008997,TC009109,TC009171,TC009250,TC009258,TC009262,TC009264,TC009265,TC009268,TC009279,TC009280,TC009435,TC009437,TC009441,TC009536,TC009538,TC009539,TC009542,TC009543,TC009550,TC009555,TC009633,TC009679,TC009739,TC009817,TC009818,TC010108,TC010157,TC010168,TC010322,TC010331,TC010334,TC010405,TC010420,TC010518,TC010637,TC010678,TC010774,TC010778,TC010795,TC010805,TC010807,TC010856,TC010869,TC010870,TC010871,TC010886,TC011040,TC011045,TC011114,TC011145,TC011200,TC011223,TC011347,TC011523,TC011526,TC011527,TC011538,TC011542,TC011637,TC011978,TC012019,TC012023,TC012028,TC012060,TC012131,TC012371,TC012378,TC012384,TC012388,TC012831,TC013075,TC013214,TC013218,TC013292,TC013301,TC013413,TC013432,TC013546,TC013565,TC013586,TC013598,TC013604,TC013609,TC013629,TC013689,TC013753,TC013754,TC013758,TC013782,TC013885,TC013931,TC014005,TC014006,TC014023,TC014024,TC014040,TC014047,TC014085,TC014166,TC014173,TC014209,TC014213,TC014217,TC014227,TC014236,TC014272,TC014378,TC014398,TC014465,TC014505,TC014515,TC014600,TC014642,TC014743,TC014894,TC014895,TC014899,TC014905,TC014947,TC014984,TC015014,TC015071,TC015073,TC015082,TC015124,TC015176,TC015300,TC015322,TC015347,TC015355,TC015365,TC015512,TC015613,TC015622,TC015626,TC015629,TC015633,TC015634,TC015660,TC015675,TC015728,TC015819,TC015826,TC015834,TC015907,TC015935,TC015996,TC016197,TC016231,TC016317,TC030464,TC030549,TC030596,TC030605,TC030625,TC030652,TC030744,TC030748"
"GO:CC","protein-containing complex","GO:0032991","true","0.0013256997957880386","2.8775548106171427","2155","612","189","9189","TC000030,TC000069,TC000481,TC000537,TC000641,TC000992,TC001072,TC001073,TC001103,TC001108,TC001231,TC001612,TC001624,TC001697,TC001750,TC001753,TC001761,TC002463,TC002501,TC002540,TC002590,TC002817,TC002963,TC003094,TC003247,TC003366,TC003474,TC003540,TC003573,TC003587,TC003588,TC003731,TC003826,TC004013,TC004014,TC004017,TC004130,TC004131,TC004144,TC004314,TC004462,TC004591,TC004599,TC004637,TC004675,TC004679,TC004680,TC004683,TC004720,TC004742,TC004800,TC005004,TC005516,TC005597,TC005628,TC005665,TC005794,TC006102,TC006152,TC006199,TC006301,TC006313,TC006314,TC006474,TC006547,TC006604,TC006627,TC006690,TC007079,TC007123,TC007124,TC007147,TC007173,TC007176,TC007383,TC007434,TC007615,TC007640,TC007870,TC007891,TC008014,TC008111,TC008294,TC008318,TC008353,TC008354,TC008406,TC008716,TC008784,TC008818,TC008997,TC009028,TC009109,TC009250,TC009258,TC009259,TC009260,TC009265,TC009268,TC009279,TC009314,TC009441,TC009536,TC009538,TC009555,TC009679,TC009739,TC009878,TC010108,TC010157,TC010322,TC010331,TC010334,TC010518,TC010662,TC010678,TC010758,TC010780,TC010795,TC010805,TC010814,TC010830,TC010886,TC011045,TC011106,TC011200,TC011241,TC011317,TC011517,TC011518,TC012019,TC012133,TC012367,TC012371,TC012375,TC012378,TC012388,TC012455,TC012831,TC013292,TC013546,TC013570,TC013571,TC013586,TC013609,TC013629,TC013742,TC013790,TC013885,TC013931,TC014040,TC014041,TC014167,TC014181,TC014217,TC014226,TC014236,TC014271,TC014272,TC014286,TC014894,TC014895,TC014905,TC014947,TC014984,TC015013,TC015014,TC015061,TC015082,TC015124,TC015300,TC015322,TC015512,TC015626,TC015634,TC015676,TC015728,TC015816,TC015823,TC015826,TC016197,TC016231,TC016317,TC030596,TC030614,TC030625,TC030748,TC030760,TC030779"
