Sample	FitnessAssay	Library	Sequencing	Time	Condition
496-1HD	M2.T1.B	Lib10.A	NS25	Feb.16	HD
863-1CT	M3.T4.A	Lib10.A	NS25	Feb.16	CT
863-3HD	M3.T2.B	Lib10.A	NS25	Feb.16	HD
432-1CT	M1.T3.A	Lib2.A	NS25	Feb.16	CT
432-4CT	M1.T3.A	Lib2.A	NS25	Feb.16	CT
799-4CT	M3.T2.A	Lib3.A	NS25	Feb.16	CT
799-1CT	M3.T2.A	Lib3.A	NS25	Feb.16	CT
245-2CT	M1.T3.A	Lib4.A	NS25	Feb.16	CT
245-1HD	M1.T4.B	Lib5.A	NS25	Feb.16	HD
638-2HD	M2.T4.B	Lib5.A	NS25	Feb.16	HD
1005-2HD	M3.T3.B	Lib6.A	NS25	Feb.16	HD
710-2CT	M2.T4.A	Lib7.A	NS25	Feb.16	CT
1077-2CT	M3.T2.A	Lib7.A	NS25	Feb.16	CT
348-4CT	M1.T4.A	Lib8.A	NS25	Feb.16	CT
103-1HD	M1.T1.B	Lib9.A	NS25	Feb.16	HD
103-4HD	M1.T1.B	Lib9.A	NS25	Feb.16	HD
863-2CT	M3.T4.A	Lib10.A	NS26	Feb.16	CT
348-1HD	M1.T3.B	Lib2.A	NS26	Feb.16	HD
432-1HD	M1.T1.B	Lib3.A	NS26	Feb.16	HD
799-1HD	M3.T4.B	Lib4.A	NS26	Feb.16	HD
245-2HD	M1.T4.B	Lib5.A	NS26	Feb.16	HD
638-3CT	M2.T3.A	Lib5.A	NS26	Feb.16	CT
638-3HD	M2.T4.B	Lib5.A	NS26	Feb.16	HD
1005-3CT	M3.T1.A	Lib5.A	NS26	Feb.16	CT
293-3CT	M1.T1.A	Lib6.A	NS26	Feb.16	CT
1005-3HD	M3.T3.B	Lib6.A	NS26	Feb.16	HD
710-3CT	M2.T4.A	Lib7.A	NS26	Feb.16	CT
710-4HD	M2.T3.B	Lib7.A	NS26	Feb.16	HD
710-3HD	M2.T3.B	Lib7.A	NS26	Feb.16	HD
1077-3CT	M3.T2.A	Lib7.A	NS26	Feb.16	CT
1077-1HD	M3.T1.B	Lib8.A	NS26	Feb.16	HD
1077-4HD	M3.T1.B	Lib8.A	NS26	Feb.16	HD
103-1CT	M1.T3.A	Lib9.A	NS26	Feb.16	CT
103-2HD	M1.T1.B	Lib9.A	NS26	Feb.16	HD
496-1CT	M2.T3.A	Lib9.A	NS26	Feb.16	CT
496-2HD	M2.T1.B	Lib10.A	NS29	Feb.16	HD
863-3CT	M3.T4.A	Lib10.A	NS29	Feb.16	CT
348-2HD	M1.T3.B	Lib2.A	NS29	Feb.16	HD
432-2CT	M1.T3.A	Lib2.A	NS29	Feb.16	CT
432-2HD	M1.T1.B	Lib3.A	NS29	Feb.16	HD
245-3CT	M1.T3.A	Lib4.A	NS29	Feb.16	CT
799-2HD	M3.T4.B	Lib4.A	NS29	Feb.16	HD
245-3HD	M1.T4.B	Lib5.A	NS29	Feb.16	HD
638-4CT	M2.T3.A	Lib5.A	NS29	Feb.16	CT
638-4HD	M2.T4.B	Lib5.A	NS29	Feb.16	HD
293-1HD	M1.T2.B	Lib6.A	NS29	Feb.16	HD
1005-4HD	M3.T3.B	Lib6.A	NS29	Feb.16	HD
710-4CT	M2.T4.A	Lib7.A	NS29	Feb.16	CT
1077-1CT	M3.T2.A	Lib7.A	NS29	Feb.16	CT
1077-4CT	M3.T2.A	Lib7.A	NS29	Feb.16	CT
348-1CT	M1.T4.A	Lib8.A	NS29	Feb.16	CT
799-2CT	M3.T2.A	Lib8.A	NS33	Feb.16	CT
1077-3HD	M3.T1.B	Lib8.A	NS29	Feb.16	HD
103-2CT	M1.T3.A	Lib9.A	NS29	Feb.16	CT
496-2CT	M2.T3.A	Lib9.A	NS29	Feb.16	CT
863-4CT	M3.T4.A	Lib10.A	NS30	Feb.16	CT
348-3HD	M1.T3.B	Lib2.A	NS30	Feb.16	HD
432-3CT	M1.T3.A	Lib2.A	NS30	Feb.16	CT
432-3HD	M1.T1.B	Lib3.A	NS30	Feb.16	HD
799-3CT	M3.T2.A	Lib3.A	NS30	Feb.16	CT
799-3HD	M3.T4.B	Lib4.A	NS30	Feb.16	HD
638-1CT	M2.T3.A	Lib5.A	NS30	Feb.16	CT
1005-1CT	M3.T1.A	Lib5.A	NS30	Feb.16	CT
1005-4CT	M3.T1.A	Lib5.A	NS30	Feb.16	CT
293-4CT	M1.T1.A	Lib6.A	NS30	Feb.16	CT
293-1CT	M1.T1.A	Lib6.A	NS30	Feb.16	CT
293-2HD	M1.T2.B	Lib6.A	NS30	Feb.16	HD
293-4HD	M1.T2.B	Lib7.A	NS30	Feb.16	HD
710-1HD	M2.T3.B	Lib7.A	NS30	Feb.16	HD
348-2CT	M1.T4.A	Lib8.A	NS30	Feb.16	CT
1077-2HD	M3.T1.B	Lib8.A	NS30	Feb.16	HD
103-3CT	M1.T3.A	Lib9.A	NS30	Feb.16	CT
496-3CT	M2.T3.A	Lib9.A	NS30	Feb.16	CT
496-3HD	M2.T1.B	Lib10.A	NS33	Feb.16	HD
863-2HD	M3.T2.B	Lib10.A	NS33	Feb.16	HD
863-4HD	M3.T2.B	Lib10.A	NS33	Feb.16	HD
348-4HD	M1.T3.B	Lib2.A	NS33	Feb.16	HD
432-4HD	M1.T1.B	Lib3.A	NS33	Feb.16	HD
245-1CT	M1.T3.A	Lib4.A	NS33	Feb.16	CT
245-4CT	M1.T3.A	Lib4.A	NS33	Feb.16	CT
638-2CT	M2.T3.A	Lib5.A	NS33	Feb.16	CT
638-1HD	M2.T4.B	Lib5.A	NS33	Feb.16	HD
1005-2CT	M3.T1.A	Lib5.A	NS33	Feb.16	CT
1005-1HD	M3.T3.B	Lib6.A	NS33	Feb.16	HD
710-1CT	M2.T4.A	Lib7.A	NS33	Feb.16	CT
710-2HD	M2.T3.B	Lib7.A	NS33	Feb.16	HD
348-3CT	M1.T4.A	Lib8.A	NS33	Feb.16	CT
103-4CT	M1.T3.A	Lib9.A	NS33	Feb.16	CT
103-3HD	M1.T1.B	Lib9.A	NS33	Feb.16	HD
496-4CT	M2.T3.A	Lib9.A	NS33	Feb.16	CT
236-1CT	M1.T3.A	Lib11	NS44	Jul.16	CT
236-2HD	M1.T4.B	Lib11	NS44	Jul.16	HD
629-1CT	M2.T3.A	Lib11	NS44	Jul.16	CT
629-2HD	M2.T1.B	Lib11	NS44	Jul.16	HD
227-1CT	M1.T1.A	Lib12	NS44	Jul.16	CT
227-2HD	M1.T4.B	Lib12	NS44	Jul.16	HD
620-1CT	M2.T2.A	Lib12	NS44	Jul.16	CT
620-2HD	M2.T1.B	Lib12	NS44	Jul.16	HD
996-1CT	M3.T2.A	Lib12	NS44	Jul.16	CT
996-2HD	M3.T3.B	Lib12	NS44	Jul.16	HD
39-1CT	M.T1.A	Lib13	NS44	Jul.16	CT
39-2HD	M1.T1.B	Lib13	NS44	Jul.16	HD
354-1CT	M1.T1.A	Lib13	NS44	Jul.16	CT
987-1CT	M3.T1.A	Lib13	NS44	Jul.16	CT
987-2HD	M3.T2.B	Lib13	NS44	Jul.16	HD
23-1CT	M1.T2.A	Lib14	NS44	Jul.16	CT
23-3HD	M1.T4.B	Lib14	NS44	Jul.16	HD
407-1CT	M1.T4.A	Lib14	NS44	Jul.16	CT
407-2HD	M1.T1.B	Lib14	NS44	Jul.16	HD
721-1CT	M2.T1.A	Lib14	NS44	Jul.16	CT
721-2HD	M2.T2.B	Lib14	NS44	Jul.16	HD
390-4CT	M1.T4.A	Lib15	NS44	Jul.16	CT
757-1CT	M3.T1.A	Lib15	NS44	Jul.16	CT
774-3CT	M3.T1.A	Lib15	NS44	Jul.16	CT
774-4HD	M3.T3.B	Lib15	NS44	Jul.16	HD
316-3CT	M1.T3.A	Lib16	NS44	Jul.16	CT
499-3CT	M2.T4.A	Lib16	NS44	Jul.16	CT
1088-3CT	M3.T1.A	Lib16	NS44	Jul.16	CT
1088-4HD	M3.T2.B	Lib16	NS44	Jul.16	HD
106-4CT	M1.T4.A	Lib17	NS44	Jul.16	CT
426-4CT	M1.T3.A	Lib17	NS44	Jul.16	CT
757-4CT	M3.T1.A	Lib17	NS44	Jul.16	CT
234-3CT	M1.T2.A	Lib18	NS44	Jul.16	CT
385-3CT	M1.T4.A	Lib18	NS44	Jul.16	CT
706-3CT	M2.T4.A	Lib18	NS44	Jul.16	CT
118-4CT	M1.T1.A	Lib19	NS44	Jul.16	CT
363-4CT	M1.T4.A	Lib19	NS44	Jul.16	CT
793-4CT	M3.T2.A	Lib19	NS44	Jul.16	CT
793-3HD	M3.T4.B	Lib19	NS44	Jul.16	HD
354-2HD	M1.T4.B	Lib20	NS44	Jul.16	HD
236-3CT	M1.T3.A	Lib11	NS45	Jul.16	CT
236-4HD	M1.T4.B	Lib11	NS45	Jul.16	HD
629-3CT	M2.T3.A	Lib11	NS45	Jul.16	CT
629-4HD	M2.T1.B	Lib11	NS45	Jul.16	HD
227-3CT	M1.T1.A	Lib12	NS45	Jul.16	CT
227-4HD	M1.T4.B	Lib12	NS45	Jul.16	HD
