Sample	Sample2	Selection	Treatment	group	batch	batch2
L1D-7-2CT	L1D-7-2CT	D	CT	D.CT	NS116	year2017
L1D-7-2D	L1D-7-2D	D	D	D.D	NS116	year2017
L5H-13-2CT	L5H-13-2CT	H	CT	H.CT	NS116	year2017
L5H-13-2H	L5H-13-2H	H	H	H.H	NS116	year2017
L5CT-2-2CT	L5CT-2-2CT	CT	CT	CT.CT	NS116	year2017
L5-CT-2-2D	L5-CT-2-2D	CT	D	CT.D	NS116	year2017
L5CT-2-2H	L5CT-2-2H	CT	H	CT.H	NS116	year2017
L5CT-2-2HD	L5CT-2-2HD	CT	HD	CT.HD	NS116	year2017
L4CT-16-2CT	L4CT-16-2CT	CT	CT	CT.CT	NS116	year2017
L4CT-16-2D	L4CT-16-2D	CT	D	CT.D	NS116	year2017
L1HD-3-2CT	L1HD-3-2CT	HD	CT	HD.CT	NS116	year2017
L1HD-3-2HD	L1HD-3-2HD	HD	HD	HD.HD	NS116	year2017
L1CT-4-3CT	L1CT-4-3CT	CT	CT	CT.CT	NS116	year2017
L1CT-4-3D	L1CT-4-3D	CT	D	CT.D	NS116	year2017
L1CT-4-3H	L1CT-4-3H	CT	H	CT.H	NS116	year2017
L1CT-4-3HD	L1CT-4-3HD	CT	HD	CT.HD	NS116	year2017
L4CT-16-2H	L4CT-16-2H	CT	H	CT.H	NS116	year2017
L4CT-16-2HD	L4CT-16-2HD	CT	HD	CT.HD	NS116	year2017
L5CT-2-3CT	L5CT-2-3CT	CT	CT	CT.CT	NS116	year2017
L5CT-2-3D	L5CT-2-3D	CT	D	CT.D	NS116	year2017
L1D-7-3CT	L1D-7-3CT	D	CT	D.CT	NS116	year2017
L1D-7-3D	L1D-7-3D	D	D	D.D	NS116	year2017
L5H-13-3CT	L5H-13-3CT	H	CT	H.CT	NS116	year2017
L5H-13-3H	L5H-13-3H	H	H	H.H	NS116	year2017
L1HD-3-3CT	L1HD-3-3CT	HD	CT	HD.CT	NS116	year2017
L1HD-3-3HD	L1HD-3-3HD	HD	HD	HD.HD	NS116	year2017
L2D-3-2CT	L2D-3-2CT	D	CT	D.CT	NS116	year2017
L2D-3-2D	L2D-3-2D	D	D	D.D	NS116	year2017
L1H-15-2CT	L1H-15-2CT	H	CT	H.CT	NS116	year2017
L1H-15-2H	L1H-15-2H	H	H	H.H	NS116	year2017
L3HD-4-3CT	L3HD-4-3CT	HD	CT	HD.CT	NS116	year2017
L3HD-4-3HD	L3HD-4-3HD	HD	HD	HD.HD	NS116	year2017
L4CT-16-3CT	L4CT-16-3CT	CT	CT	CT.CT	NS116	year2017
L4CT-16-3D	L4CT-16-3D	CT	D	CT.D	NS116	year2017
L5CT-2-3H	L5CT-2-3H	CT	H	CT.H	NS116	year2017
L5CT-2-3HD	L5CT-2-3HD	CT	HD	CT.HD	NS116	year2017
L1CT-4-1CT	L1CT-4-1CT	CT	CT	CT.CT	NS117	year2017
L1CT-4-1D	L1CT-4-1D	CT	D	CT.D	NS117	year2017
L1CT-4-1H	L1CT-4-1H	CT	H	CT.H	NS117	year2017
L1CT-4-1HD	L1CT-4-1HD	CT	HD	CT.HD	NS117	year2017
L4CT-16-1H	L4CT-16-1H	CT	H	CT.H	NS117	year2017
L4CT-16-1HD	L4CT-16-1HD	CT	HD	CT.HD	NS117	year2017
L5CT-2-1CT	L5CT-2-1CT	CT	CT	CT.CT	NS117	year2017
L5CT-2-1D	L5CT-2-1D	CT	D	CT.D	NS117	year2017
L1D-7-1CT	L1D-7-1CT	D	CT	D.CT	NS117	year2017
L1D-7-1D	L1D-7-1D	D	D	D.D	NS117	year2017
L5H-13-1CT	L5H-13-1CT	H	CT	H.CT	NS117	year2017
L5H-13-1H	L5H-13-1H	H	H	H.H	NS117	year2017
L1HD-3-1-CT	L1HD-3-1-CT	HD	CT	HD.CT	NS117	year2017
L1HD-3-1HD	L1HD-3-1HD	HD	HD	HD.HD	NS117	year2017
L2D-3-1CT	L2D-3-1CT	D	CT	D.CT	NS117	year2017
L2D-3-1D	L2D-3-1D	D	D	D.D	NS117	year2017
L1H-15-1CT	L1H-15-1CT	H	CT	H.CT	NS117	year2017
L1H-15-1H	L1H-15-1H	H	H	H.H	NS117	year2017
L3HD-4-1CT	L3HD-4-1CT	HD	CT	HD.CT	NS117	year2017
L3HD-4-1HD	L3HD-4-1HD	HD	HD	HD.HD	NS117	year2017
L4CT-16-1CT	L4CT-16-1CT	CT	CT	CT.CT	NS117	year2017
L4CT-16-1D	L4CT-16-1D	CT	D	CT.D	NS117	year2017
L5CT-2-1H	L5CT-2-1H	CT	H	CT.H	NS117	year2017
L5CT-2-1HD	L5CT-2-1HD	CT	HD	CT.HD	NS117	year2017
L6D-5-1CT	L6D-5-1CT	D	CT	D.CT	NS117	year2017
L6D-5-1D	L6D-5-1D	D	D	D.D	NS117	year2017
L4H-9-1CT	L4H-9-1CT	H	CT	H.CT	NS117	year2017
L4H-9-1H	L4H-9-1H	H	H	H.H	NS117	year2017
L3HD-4-2CT	L3HD-4-2CT	HD	CT	HD.CT	NS117	year2017
L3HD-4-2HD	L3HD-4-2HD	HD	HD	HD.HD	NS117	year2017
L2HD-8-1CT	L2HD-8-1CT	HD	CT	HD.CT	NS117	year2017
L2HD-8-1HD	L2HD-8-1HD	HD	HD	HD.HD	NS117	year2017
L1CT-4-2CT	L1CT-4-2CT	CT	CT	CT.CT	NS117	year2017
L1CT-4-2D	L1CT-4-2D	CT	D	CT.D	NS117	year2017
L1CT-4-2H	L1CT-4-2H	CT	H	CT.H	NS117	year2017
L1CT-4-2HD	L1CT-4-2HD	CT	HD	CT.HD	NS117	year2017
L1H-15-3CT	L1H-15-3CT	H	CT	H.CT	NS118	year2017
L1H-15-4H	L1H-15-4H	H	H	H.H	NS118	year2017
L6D-5-1H	L6D-5-1H	D	H	D.H	NS118	year2017
L6D-5-2H	L6D-5-2H	D	H	D.H	NS118	year2017
L2HD-8-3CT	L2HD-8-3CT	HD	CT	HD.CT	NS118	year2017
L2HD-8-3HD	L2HD-8-3HD	HD	HD	HD.HD	NS118	year2017
L1HD-3-3H	L1HD-3-3H	HD	H	HD.H	NS118	year2017
L1HD-3-4H	L1HD-3-4H	HD	H	HD.H	NS118	year2017
L6D-5-4H	L6D-5-4H	D	H	D.H	NS118	year2017
L6D-13-2H	L6D-13-2H	D	H	D.H	NS118	year2017
L1CT-4-4H	L1CT-4-4H	CT	H	CT.H	NS118	year2017
L1CT-4-4HD	L1CT-4-4HD	CT	HD	CT.HD	NS118	year2017
L1D-13-4H	L1D-13-4H	D	H	D.H	NS118	year2017
L1D-7-4H	L1D-7-4H	D	H	D.H	NS118	year2017
L2D-3-3CT	L2D-3-3CT	D	CT	D.CT	NS118	year2017
L2D-3-3D	L2D-3-3D	D	D	D.D	NS118	year2017
L1H-15-4CT	L1H-15-4CT	H	CT	H.CT	NS118	year2017
L4H-9-4CT	L4H-9-4CT	H	CT	H.CT	NS118	year2017
L1CT-4-4D	L1CT-4-4D	CT	D	CT.D	NS118	year2017
L5CT-2-4CT	L5CT-2-4CT	CT	CT	CT.CT	NS118	year2017
L5CT2-4HD	L5CT2-4HD	CT	HD	CT.HD	NS118	year2017
L2HD-8-4CT	L2HD-8-4CT	HD	CT	HD.CT	NS118	year2017
L2HD-8-2HD	L2HD-8-2HD	HD	HD	HD.HD	NS118	year2017
L2HD-8-4HD	L2HD-8-4HD	HD	HD	HD.HD	NS118	year2017
L2D-3-4D	L2D-3-4D	D	D	D.D	NS118	year2017
L6D-5-4CT	L6D-5-4CT	D	CT	D.CT	NS118	year2017
L6D-5-3D	L6D-5-3D	D	D	D.D	NS118	year2017
L4H-9-4H	L4H-9-4H	H	H	H.H	NS118	year2017
L3HD-10-2H	L3HD-10-2H	HD	H	HD.H	NS118	year2017
