"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC007608",2.61498141710343,4.97516174496973,9.96731483165063,1.09896114605279e-16,1.26677251305505e-12,26.9938211981946
"TC007252",1.10936970558131,3.56118232964398,6.82315342551881,6.79161196751355e-10,3.91434555747643e-06,12.1345465894424
"TC007013",-0.483970525450121,5.16927821780235,-6.69938789031807,1.22184651231861e-09,4.69474158249888e-06,11.7404418239313
"TC013755",-1.17602535999962,1.89297614197355,-6.45068623575329,3.93141095200387e-09,1.13293435109371e-05,10.0337920547501
"TC001266",1.01919614659943,2.9896181397005,5.91721746879533,4.54802925849519e-08,0.000104850266525348,8.16163823561637
"TC002409",0.409823685740372,3.96205917244787,5.84976698580483,6.1590060446871e-08,0.000118324771128514,7.99522575940049
"TC001093",-1.12126374804595,3.1116604375493,-5.71489956082102,1.12407950992e-07,0.000185103778726398,7.38170871968634
"TC001468",-0.315762421202132,3.83869729787973,-5.6465542639094,1.52105111056929e-07,0.000187838703357954,7.15194409985992
"TC010437",0.370719439635775,4.5742218796844,5.64439409377361,1.53561844731105e-07,0.000187838703357954,7.14470635465603
"TC007220",-0.624107040216024,2.36972159853782,-5.63092948529341,1.62955411952766e-07,0.000187838703357954,6.86104324063742
"TC002375",0.23691118880056,6.11126316279541,5.56332496667948,2.19329912020581e-07,0.000229837808714658,6.74924163047362
"TC014363",-0.433387590851388,6.20852262151343,-5.52675551879812,2.57386555127477e-07,0.000247241235079536,6.59835448842171
"TC012466",0.425085893400961,8.23363242221081,5.47734585103114,3.19244285168036e-07,0.000262852062509425,6.4113479288038
"TC012770",0.715480761255167,5.66664059538987,5.43426182083944,3.84904618643069e-07,0.000288081031518896,6.23757866342013
"TC007569",0.813344359223791,4.27807956970099,5.41144361531736,4.24861415443848e-07,0.000288081031518896,6.19202986757447
"TC002218",0.366541606581364,3.50978455169972,5.41457414160361,4.19148287738148e-07,0.000288081031518896,6.18883116206183
"TC002865",0.686246423346343,3.83569144208089,5.32390700271245,6.19400729050452e-07,0.00038093084537961,5.838611804891
"TC005385",-0.717792670851906,0.911368810257462,-5.49651017804978,2.93691386832497e-07,0.000260413893539861,5.72455031513673
"TC003119",0.382276257197197,3.81369549651364,5.29415203891663,7.03590760427474e-07,0.00039269478839666,5.72101327236386
"TC005412",-0.649734544472065,5.04626142302249,-5.29025471173408,7.15415160608125e-07,0.00039269478839666,5.65882178122569
