"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC013280",-2.29123693579706,2.84746420776885,-26.1469868831989,6.92947440908134e-94,8.34516603085666e-90,203.224279466301
"TC006793",1.91325212475031,7.1885902239894,26.070049317724,1.57957927312964e-93,9.51143659315012e-90,202.724007708792
"TC004032",0.92149134337668,6.33762339391028,24.4152039951337,8.66578278982283e-86,3.47873407126121e-82,184.943830544985
"TC005951",3.25852008418458,9.43455926965783,24.1196162644074,2.12610889689895e-84,6.40118236133852e-81,181.770568829997
"TC002368",0.477534653829237,9.72359512930748,23.3651614297922,7.63197504297302e-81,1.83823750885048e-77,173.609492527689
"TC000516",-5.17683191944903,5.34796557004523,-23.336199272634,1.04544781603012e-80,2.09838800807513e-77,173.286873297782
"TC014541",-0.380862835497838,6.2571043500375,-22.9757633417179,5.26140467310067e-79,9.0518709254502e-76,169.356805351242
"TC004654",-1.21526262517414,1.45766013614952,-22.4683541346334,1.3164314352692e-76,1.98172297186838e-73,163.405312177793
"TC003112",-1.18312830058762,9.4066673488275,-22.346955178706,4.93780106674386e-76,6.60732647186626e-73,162.561071691497
"TC004015",1.24253295715727,6.84071240820598,22.1484281040275,4.29175736807076e-75,5.00752336006197e-72,160.37634065256
"TC000445",1.87749092398788,4.07531881990409,22.1425844256237,4.57384015284246e-75,5.00752336006197e-72,160.359221143947
"TC015912",0.56475598554822,7.50444063668897,22.0835328113139,8.70275214503499e-75,8.73393700688803e-72,159.67353773167
"TC001049",1.62579867321718,4.76351249763426,21.9105050309771,5.73237460252623e-74,5.31038364140179e-71,157.844460634472
"TC007083",0.678637674202526,3.11171232580413,21.8459150027533,1.15867891230561e-73,9.96712152921172e-71,157.090362478484
"TC030624",0.509457313173717,8.80099716189291,21.6683356217511,8.02176215804175e-73,6.44040544461979e-70,155.180546632154
"TC005529",1.54011177862135,2.71843906641567,21.4700676406214,6.95788566751399e-72,5.23711356836694e-69,152.961489280041
"TC006181",1.00313957891729,4.59181023016883,21.4067754814097,1.38664457414349e-71,9.82315329788828e-69,152.376702282305
"TC012800",1.31453418741774,2.36016130226371,21.3957714233529,1.56326841100165e-71,1.04591341520516e-68,152.099738737933
"TC001887",0.844601424465355,4.36856427180856,21.3125529488998,3.87071156695933e-71,2.45341996846796e-68,151.358441096635
"TC001448",0.664618152365105,3.04277762699167,21.1193543395613,3.17560885093766e-70,1.91219286959211e-67,149.220348791486
"TC011863",0.889332097137308,3.51189625028636,20.9919794176308,1.27156314367538e-69,7.29211187584886e-67,147.873329473334
"TC005338",1.90202219326044,4.38853896580932,20.8917832924844,3.78624949814209e-69,2.07262739573296e-66,146.796872916273
"TC012821",3.16833613884478,-1.18748620457534,20.8680016890345,4.90536564086287e-69,2.5684921049092e-66,144.451688746567
"TC012718",-0.332370059043048,5.49775773879065,-20.6441881584254,5.60821591517374e-68,2.81415601110156e-65,144.049973115919
"TC004635",0.933183570663172,2.09118251832213,20.6303813158379,6.51755521919679e-68,3.13963670019148e-65,143.794437062127
"TC011724",0.723623695066383,4.1842028421177,20.5422204539262,1.70113502837333e-67,7.87952659488462e-65,143.008060940457
"TC011534",1.64656851989988,2.54081264669357,20.141804787174,1.32383716574706e-65,5.9048040692933e-63,138.587474605581
"TC010489",-0.673245754610433,9.61915962976081,-20.0819863989709,2.53591400217342e-65,1.09071472600623e-62,137.975511945397
"TC006593",0.994093180254168,5.52393728522612,20.053343324317,3.46168290976635e-65,1.43755335456263e-62,137.653980846845
"TC013741",1.50724667174055,5.43010218688018,20.0183739970783,5.06139987068938e-65,2.03181462142374e-62,137.288740849416
"TC003733",1.70700615444479,1.90291580349436,20.0138111522449,5.31858691901238e-65,2.06618523437633e-62,137.093474249367
"TC007314",3.72878271327855,3.07583015113874,19.8938334399212,1.95731445110801e-64,7.36623060459182e-62,135.921613451145
"TC005369",0.742638469598661,1.78028033184369,19.5402239114839,9.07155869656178e-63,3.31056913280889e-60,132.007308930914
"TC007789",1.51291809541352,3.97140156459163,19.4422885479513,2.62171807714304e-62,9.28627964795108e-60,131.122241912807
"TC005528",1.47673454540463,3.56021675420825,19.3722071884588,5.60083272511487e-62,1.92716652881595e-59,130.368463311595
"TC006284",0.895794980012386,3.33326948712043,19.3406108875336,7.88570991936076e-62,2.63798901552394e-59,130.026042976662
"TC011508",0.410374394863775,6.24307455738456,19.3012562341567,1.20747010099154e-61,3.93015200709221e-59,129.483505745558
"TC002415",0.483491575563326,11.2598029372334,19.1960158729513,3.77118080238124e-61,1.19516658955466e-58,128.429508467666
"TC016213",1.40206615268543,1.70928237986455,19.1035056271004,1.02561628262946e-60,3.16705048505297e-58,127.299348931669
"TC008784",0.344618404682167,11.5373501793057,18.8650430540854,1.34829664284069e-59,4.0593841174326e-57,124.870740406869
"TC014470",0.631564195629452,7.09271079540013,18.8284967815127,2.00025734369951e-59,5.73549980718409e-57,124.388846273957
"TC012038",-1.38606042707878,4.43585574664029,-18.7852939698303,3.18807057067641e-59,8.9288218331758e-57,124.031415683102
"TC010653",-1.01368932304878,2.59315301946354,-18.7794753829917,3.39459546805851e-59,9.08469182707303e-57,123.965062677837
"TC007063",0.838698924720829,9.95327089271198,18.7800368479058,3.37409738609805e-59,9.08469182707303e-57,123.926964353184
"TC009345",2.05163036465678,-0.908045330438341,18.8317992025703,1.93022780879192e-59,5.66969109787345e-57,123.310127463038
"TC000979",0.59376356369448,3.96866256750882,18.4072972536493,1.87008169884499e-57,4.89595519547614e-55,119.998410747813
"TC014967",0.536912654806109,3.76802375911351,18.3683773510046,2.84197377920572e-57,7.28210430276052e-55,119.588909464405
"TC011876",-0.481006082300414,6.34000877585523,-18.3316157263053,4.21932654528992e-57,1.05861144968597e-54,119.047366907128
"TC006469",0.66877114412654,1.93977896880903,18.2957525681137,6.20322493650434e-57,1.52460077368004e-54,118.733334078617
"TC013617",1.34704190850572,0.504967969747071,18.2288587326953,1.27252880839681e-56,3.06501288790456e-54,117.664451983072
"TC000334",0.828393289298811,6.85743411470065,18.1309636426008,3.63902176755798e-56,8.59308610719622e-54,116.903393796603
"TC004628",0.785280547805055,3.02809597508971,17.9929047856338,1.59876755446803e-55,3.70268416508817e-53,115.587525231349
"TC030770",0.407104909081258,6.67730919516341,17.8638793407679,6.36385223392713e-55,1.44603532930537e-52,114.046434317702
"TC010503",0.465099604255402,3.16301137610529,17.8227429510557,9.88152730849266e-55,2.20376358104032e-52,113.779299022136
