"gene" "CHROM" "Parallelism" "isShifting" "isPartiallyParallel" "isFullyParallel" "Parallel_category" "Annotation" "Putative_impact" "logFC" "abs_logFC" "significant_sg_pool" "highest_sg_pool" "significant_de_pool" "highest_de_pool" "common_pool" "hub_gene" "module_gene" "gene_chr" "gene_start" "gene_end" "net_selection" "direct_selection" "diff_selection" "log_net_selection" "log_direct_selection" "eQTL_carrier" "eQTL_carrier_category" "eQTL_phenotype" "eQTL_phenotype_category" "hub_gene_category" "Pleiotropy" "Pleiotropy_category" "Connectivity" "Connectivity_category"
"TC000027" "TC000027" "ChLG3" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.0849940049817362 0.0849940049817362 0 0 0 0 0 0 1 "ChLG3" 19499502 19507256 0.242158371503019 5.92e-05 0.242099171503019 -0.615900512639651 -4.22767829327708 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000030" "TC000030" "ChLG3" 2 1 1 0 "Partial/full parallelism" "downstream_gene_variant" "MODIFIER" 0.0158017168713823 0.0158017168713823 0 0 0 0 0 0 1 "ChLG3" 19415565 19416071 0.188437411991 1.96e-05 0.188417811991 -0.724832869015347 -4.70774392864352 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000032" "TC000032" "ChLG3" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" 0.136350189684253 0.136350189684253 0 0 0 0 0 0 1 "ChLG3" 19486172 19499113 0.091878137304494 5.47e-05 0.091823437304494 -1.03678781807627 -4.26201267366657 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000041" "TC000041" "ChLG3" 3 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.0789376031603614 0.0789376031603614 0 0 0 0 0 0 1 "ChLG3" 14197511 14202223 0.229478483981547 1.11e-05 0.229467383981547 -0.639258027887659 -4.95467702121334 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000053" "TC000053" "ChLG3" 4 1 1 0 "Partial/full parallelism" "missense_variant" "MODERATE" -0.00437582777383 0.00437582777383 0 0 0 0 0 0 1 "ChLG3" 14086837 14095640 0.050774785426536 1.85e-06 0.050772935426536 -1.29435190324109 -5.73282827159699 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000069" "TC000069" "ChLG3" 1 1 0 0 "Single shift" "synonymous_variant" "LOW" -0.00588416853251954 0.00588416853251954 0 0 0 0 0 0 1 "ChLG3" 13784959 13785713 0.963533128097791 1.42e-05 0.963518928097791 -0.016133348883223 -4.84771165561694 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000070" "TC000070" "ChLG3" 3 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.0703122156490768 0.0703122156490768 0 0 0 0 0 0 1 "ChLG3" 13777514 13781119 0.240520751476631 2.87e-05 0.240492051476631 -0.618847447926305 -4.54211810326601 1 "eQTL carrier" 0 "Other" "Other" 1 "Single-phenotype eQTL carrier" 0 "Non-eQTL phenotype"
"TC000083" "TC000083" "ChLG3" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.120183529952358 0.120183529952358 0 0 0 0 0 0 1 "ChLG3" 13381858 13391465 1.35574955850458 4.25e-06 1.35574530850458 0.132179471680935 -5.37161106994969 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000085" "TC000085" "ChLG3" 2 1 1 0 "Partial/full parallelism" "upstream_gene_variant" "MODIFIER" 0.0881161127264035 0.0881161127264035 0 0 0 0 0 0 1 "ChLG3" 13371883 13378713 0.014667381287945 1.69e-05 0.014650481287945 -1.83364741810731 -4.77211329538633 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
"TC000188" "TC000188" "ChLG2" 2 1 1 0 "Partial/full parallelism" "synonymous_variant" "LOW" -0.239419327880124 0.239419327880124 0 0 0 0 0 0 1 "ChLG2" 19592362 19596293 -0.051099195054508 -4.81e-08 -0.051099146954508 -1.29158594108131 -7.31785492362617 0 "Other" 0 "Other" "Other" 0 "Non-eQTL carrier" 0 "Non-eQTL phenotype"
